Afinidad electrÃ³nica,Potencial de IonizaciÃ³n,Electronegatividad,Potencial QuÃ­mico,Electrofilicidad,Dureza,Blandura,Homo ,Lumo,Poder electrodonador,poder electroaceptor,Electrofilicidad neta,Nucleofilicidad
1.741,4.869,3.305,-3.305,1.746,3.1279,0.319703315,-4.869,-1.741,5.34,2.035,7.375,3.9235
1.737,4.866,3.3013,-3.3013,1.7414,3.1293,0.319560285,-4.866,-1.737,5.3289,2.0276,7.3565,3.9265
1.734,4.86,3.2972,-3.2972,1.7392,3.1255,0.319948808,-4.86,-1.734,5.3223,2.0251,7.3474,3.9325
1.732,4.858,3.2952,-3.2952,1.7369,3.1258,0.319918101,-4.858,-1.732,5.3167,2.0215,7.3382,3.9345
1.743,4.871,3.307,-3.307,1.748,3.1282,0.319672655,-4.871,-1.743,5.345,2.038,7.383,3.9215
1.741,4.867,3.3043,-3.3043,1.7463,3.126,0.319897633,-4.867,-1.741,5.3402,2.0359,7.3761,3.9255
1.737,4.864,3.3007,-3.3007,1.742,3.1271,0.319785104,-4.864,-1.737,5.3298,2.0291,7.3589,3.9285
1.736,4.863,3.2995,-3.2995,1.7412,3.1263,0.319866935,-4.863,-1.736,5.3275,2.0279,7.3554,3.9295
1.5755,5.6567,3.6339,-3.6339,1.5941,4.1418,0.241440919,-5.6567,-1.5755,5.2672,1.6511,6.9183,3.1358
1.4055,5.6589,3.541,-3.541,1.4531,4.3143,0.231787312,-5.6589,-1.4055,4.9652,1.433,6.3982,3.1336
1.3674,5.6347,3.5524,-3.5524,1.4816,4.259,0.234796901,-5.6347,-1.3674,4.8896,1.3885,6.2781,3.1578
1.4667,5.6793,3.5858,-3.5858,1.504,4.2747,0.233934545,-5.6793,-1.4667,5.0803,1.5073,6.5876,3.1132
2.1002,5.8352,3.9703,-3.9703,2.1157,3.7254,0.268427551,-5.8352,-2.1002,6.4321,2.4644,8.8965,2.9573
1.326,5.6423,3.5118,-3.5118,1.4075,4.3812,0.228247969,-5.6423,-1.326,4.8243,1.3401,6.1644,3.1502
0.9766,5.5677,3.2971,-3.2971,1.1728,4.6348,0.21575904,-5.5677,-0.9766,4.2552,0.983,5.2382,3.2248
1.1391,5.7182,3.4446,-3.4446,1.276,4.6494,0.215081516,-5.7182,-1.1391,4.5677,1.1391,5.7068,3.0743
0.821,6.3114,3.5662,-3.5662,1.1582,5.4904,0.182136092,-6.3114,-0.821,4.4426,0.8764,5.319,2.4811
1.071,6.2907,3.6809,-3.6809,1.2979,5.2197,0.191581892,-6.2907,-1.071,4.7624,1.0815,5.8439,2.5018
0.8893,6.3125,3.6009,-3.6009,1.1954,5.4232,0.184392978,-6.3125,-0.8893,4.5303,0.9294,5.4597,2.48
0.904,6.676,3.79,-3.79,1.2443,5.7721,0.173247172,-6.676,-0.904,4.7443,0.9543,5.6986,2.1165
1.174,6.144,3.66,-3.66,1.35,4.97,0.201207243,-6.144,-1.174,4.83,1.18,6.01,2.6485
1.884,5.844,3.86,-3.86,1.89,3.96,0.252525253,-5.844,-1.884,5.95,2.09,8.04,2.9485
1.821,6.318,4.07,-4.07,1.84,4.5,0.222222222,-6.318,-1.821,5.1,1.93,7.03,2.4745
1.175,6.144,3.66,-3.66,1.35,4.97,0.201207243,-6.144,-1.175,4.84,1.18,6.02,2.6485
1.015,5.948,3.48,-3.48,1.23,4.93,0.202839757,-5.948,-1.015,4.51,1.02,5.53,2.8445
1.089,6.257,3.67,-3.67,1.31,5.17,0.193423598,-6.257,-1.089,4.77,1.1,5.87,2.5355
0.893,6.551,3.72,-3.72,1.22,5.66,0.176678445,-6.551,-0.893,4.66,0.94,5.6,2.2415
1.733,5.767,3.75,-3.75,1.74,4.03,0.248138958,-5.767,-1.733,5.61,1.86,7.47,3.0255
1.463,6.512,3.99,-3.99,1.58,5.05,0.198019802,-6.512,-1.463,5.46,1.47,6.93,2.2805
2.65,6.335,4.49,-4.49,2.74,3.68,0.27173913,-6.335,-2.65,7.95,3.46,11.41,2.4575
2.616,7.016,4.82,-4.82,2.64,4.4,0.227272727,-7.016,-2.616,7.95,3.14,11.09,1.7765
2.659,6.147,4.4,-4.4,2.78,3.49,0.286532951,-6.147,-2.659,7.98,3.57,11.55,2.6455
2.3551,5.9207,4.1379,-4.1379,2.4011,3.5655,0.280465573,-5.9207,-2.3551,7.094,2.9561,10.0501,2.8718
2.2455,5.8513,4.1484,-4.1484,2.5264,3.4058,0.293616771,-5.8513,-2.2455,7.3399,3.1916,10.5315,2.9412
2.6011,5.9443,4.2727,-4.2727,2.7304,3.3432,0.299114621,-5.9443,-2.6011,7.806,3.5333,11.3393,2.8482
2.5666,5.9158,4.2412,-4.2412,2.6854,3.3492,0.298578765,-5.9158,-2.5666,7.7006,3.4595,11.1601,2.8767
2.9456,5.9634,4.4545,-4.4545,2.2877,3.0177,0.331378202,-5.9634,-2.9456,8.9912,4.5367,13.5279,2.8291
2.7737,5.9552,4.3644,-4.3644,2.9936,3.1816,0.314307267,-5.9552,-2.7737,8.3682,4.0037,12.3719,2.8373
2.5225,5.9381,4.2303,-4.2303,2.6197,3.4156,0.29277433,-5.9381,-2.5225,7.5679,3.3377,10.9056,2.8544
2.5239,5.9073,4.2156,-4.2156,2.6262,3.3835,0.295551943,-5.9073,-2.5239,7.5716,3.356,10.9276,2.8852
2.25,5.87,4.06,-4.06,2.28,3.62,0.276243094,-5.87,-2.25,10.81194079,4.365800439,15.17774123,2.9225
2.51,6.81,4.66,-4.66,2.53,4.3,0.23255814,-6.81,-2.51,13.00008893,5.07993083,18.08001976,1.9825
2.72,7,4.86,-4.86,2.76,4.28,0.23364486,-7,-2.72,12.7409058,5.204384058,17.94528986,1.7925
2.29,7.04,4.67,-4.67,2.3,4.75,0.210526316,-7.04,-2.29,14.89206793,5.257828804,20.14989674,1.7525
2.58,6.84,4.71,-4.71,2.6,4.26,0.234741784,-6.84,-2.58,12.82716346,5.110009615,17.93717308,1.9525
0.9796,5.5424,3.261,-3.261,1.1653,4.5628,0.219163671,-5.5424,-0.9796,4.2463,0.9853,5.2316,3.2501
1.221,5.6589,3.4399,-3.4399,1.3332,4.4379,0.225331801,-5.6589,-1.221,4.6637,1.2238,5.8875,3.1336
1.03,6.72,3.8787,-3.8787,1.3222,5.6894,0.175765459,-6.72,-1.03,4.9392,1.0605,5.9997,2.0725
1.4875,5.4725,3.48,-3.48,1.31,4.64,0.215517241,-5.4725,-1.4875,4.64,1.161,5.801,3.32
1.3275,5.2925,3.31,-3.31,1.18,4.62,0.216450216,-5.2925,-1.3275,4.31,1,5.31,3.5
