ID,Afinidad electronica,Potencial de ionizacion,Electronegatividad,Potencial quimico,Electrofilicidad,Dureza,Blandura,Homo ,Lumo,Poder electrodonador,Poder electroaceptor,Electrofilicidad neta,Nucleofilicidad,Peso molecular,LOGP,Angulos rotables,Aceptores,Donadores,Area superficial,Solubilidad acuosa,Permeabilidad Caco2 ,Absorción intestinal (humana),Permeabilidad de la piel,Sustrato de la glicoproteína P,Inhibidor de la P-glicoproteína I ,Inhibidor de la P-glicoproteína II,VDss (humano),Fracción no consolidada (humana),Permeabilidad BBB,Permeabilidad del SNC,Sustrato del CYP2D6,Sustrato del CYP3A4,Inhibidor de CYP1A2,Inhibidor de CYP2C19,Inhibidor de CYP2C9,Inhibidor de CYP2D6,Inhibidor de CYP3A4,Liquidación total,Sustrato renal de OCT2,Toxicidad AMES,Dosis máxima tolerada (humana),Inhibidor de hERG I,Inhibidor de hERG II,Toxicidad aguda oral en ratas (DL50),Toxicidad crónica oral en ratas (LOAEL),Hepatotoxicidad,Sensibilización cutánea,Toxicidad de T. Pyriformis,Toxicidad de los pececillos,Volumen, Ligando GPCR ,Modulador del canal iónico,Inhibidor de quinasa,Ligando del receptor nuclear,Inhibidor de proteasa,Inhibidor de enzima
33,1.733,5.634,3.683,-3.683,1.739,3.901,0.2563,-5.634,-1.733,5.563,1.88,7.443,3.1585,454.552,1.2644,10,5,6,190.537,-3.024,-0.442,32.886,-2.735,1,0,0,-1.056,0.186,-0.832,-3.404,1,1,0,0,0,0,0,1.063,0,0,0.413,0,0,2.286,3.483,1,0,0.285,0.534,404.04,0.43,0.29,0.09,0.07,1.09,0.51
34,3.184,5.634,4.409,-4.409,3.968,2.45,0.4082,-5.634,-3.184,10.294,5.885,16.179,3.1585,514.582,2.2829,11,5,6,219.234,-3.021,-0.562,41.682,-2.735,1,0,0,-1.36,0,-0.787,-3.141,0,0,0,0,0,0,0,0.96,0,0,0.591,0,0,2.343,3.489,1,0,0.285,2.068,465.81,0.39,0.21,0.07,0.11,0.78,0.35
35,1.7,6.072,3.886,-3.886,1.727,4.372,0.2287,-6.072,-1.7,5.67,1.784,7.454,2.7205,866.948,-5.0045,8,14,12,344.68,-2.779,-0.408,0,-2.735,1,1,0,-0.925,0.408,-1.63,-5.952,0,0,0,0,0,0,0,0.075,0,0,0.539,0,0,2.452,3.633,1,0,0.285,13.269,751.1,0.359,-0.041,-0.02,0.018,0.547,0.316
36,1.467,5.929,3.698,-3.698,1.533,4.462,0.2241,-5.929,-1.467,5.193,1.495,6.688,2.8635,880.975,-5.5148,9,14,13,352.588,-2.855,0.965,0,-2.735,1,0,0,-0.694,0.372,-1.172,-5.482,0,0,0,0,0,0,0,0.56,0,0,0.349,0,1,2.485,6.239,1,0,0.285,19.631,770.19,0.415,0.057,0.183,0,0.533,0.42
37,1.228,5.681,3.454,-3.454,1.34,4.453,0.2246,-5.681,-1.228,4.685,1.231,5.916,3.1115,896.974,-6.5424,10,15,14,357.382,-2.868,0.27,0,-2.735,1,0,0,-0.799,0.341,-1.406,-5.85,0,0,0,0,0,0,0,0.672,0,0,0.377,0,1,2.483,6.625,0,0,0.285,21.455,778.45,0.406,0.046,0.178,-0.015,0.513,0.407
38,1.622,6.056,3.839,-3.839,1.662,4.434,0.2255,-6.056,-1.622,5.52,1.682,7.202,2.7365,896.974,-5.8487,9,15,13,355.839,-2.859,0.903,0,-2.735,1,0,0,-0.698,0.363,-1.337,-5.616,0,0,0,0,0,0,0,0.422,0,0,0.33,0,1,2.485,6.364,1,0,0.285,20.4,775.94,0.361,0,0.129,-0.016,0.536,0.406
39,1.593,5.888,3.74,-3.74,1.629,4.295,0.2328,-5.888,-1.593,5.396,1.655,7.051,2.9045,912.973,-6.8763,10,16,14,360.634,-2.872,0.175,0,-2.735,1,0,0,-0.804,0.334,-1.571,-5.984,0,0,0,0,0,0,0,0.534,0,0,0.364,0,1,2.483,6.739,1,0,0.285,22.322,784.2,0.353,-0.01,0.124,-0.031,0.516,0.394
40,1.0147,5.3332,3.1739,-3.1739,1.1664,4.3184,0.2316,-5.3332,-1.0147,4.1896,1.0157,5.2053,3.4593,846.917,-4.0449,6,13,12,341.334,-2.89,-0.702,0,-2.735,1,0,0,-1.078,0.357,-2.192,-4.928,0,0,0,0,0,0,0,0.118,0,0,0.415,0,0,2.516,5.519,1,0,0.285,12.585,729.62,-1.74,-3.13,-2.81,-3.06,-0.97,-2.33
41,0.9451,5.2981,3.1216,-3.1216,1.1192,4.353,0.2297,-5.2981,-0.9451,4.0713,0.9498,5.0211,3.4944,830.918,-3.0173,5,12,11,336.539,-2.9,-0.632,0,-2.735,1,0,0,-0.963,0.373,-2.026,-4.585,0,0,0,0,0,0,0,-0.062,0,0,0.512,0,0,2.547,5.128,1,0,0.285,11.264,721.36,-1.48,-3,-2.61,-2.75,-0.75,-2.11
42,1.0531,5.2907,3.1719,-3.1719,1.1871,4.2376,0.236,-5.2907,-1.0531,4.225,1.0531,5.2781,3.5018,862.916,-5.0725,7,14,13,346.128,-2.885,-0.859,0,-2.735,1,0,0,-1.116,0.323,-2.573,-5.23,0,0,0,0,0,0,0,0.23,0,0,0.377,0,0,2.492,5.879,1,0,0.285,14.2,737.87,-2.14,-3.36,-3.09,-3.16,-1.44,-2.63
43,0.8528,5.1318,2.9923,-2.9923,1.0463,4.279,0.2337,-5.1318,-0.8528,3.8561,0.8638,4.7199,3.6607,804.88,-4.7733,5,13,12,324.442,-2.69,-0.462,0,-2.735,1,0,0,-0.88,0.42,-2.097,-5.341,0,0,0,0,0,0,0,0.274,0,0,0.341,0,1,2.467,4.79,1,0,0.285,10.788,694.04,-1.13,-2.62,-2.07,-2.37,-0.56,-1.72
44,0.886,5.1459,3.016,-3.016,1.0676,4.2599,0.2347,-5.1459,-0.886,3.9095,0.8935,4.803,3.6466,788.881,-3.7457,4,12,11,319.648,-2.763,-0.12,7.261,-2.735,1,0,0,-0.692,0.456,-1.716,-4.982,0,0,0,0,0,0,0,0.162,0,0,0.379,0,1,2.435,4.428,1,0,0.285,9.61,685.79,-0.94,-2.39,-1.84,-2.12,-0.39,-1.51
45,1.2944,5.67,3.4822,-3.4822,1.3856,4.3756,0.2285,-5.67,-1.2944,4.7859,1.3036,6.0895,3.1225,772.882,-2.7181,3,11,10,314.854,-2.832,-0.065,13.115,-2.735,1,0,0,-0.504,0.445,-1.554,-4.6,0,0,0,0,0,0,0,-0.018,0,0,0.451,0,1,2.389,3.993,0,0,0.285,8.529,677.53,-0.76,-2.19,-1.66,-1.84,-0.26,-1.34
46,1.255,5.6303,3.4426,-3.4426,1.3544,4.3753,0.2286,-5.6303,-1.255,4.7036,1.2609,5.9645,3.1622,756.883,-1.6889,3,10,9,310.059,-2.912,-0.163,26.14,-2.735,1,0,0,-0.614,0.451,-1.549,-4.371,0,0,0,0,0,0,0,-0.219,0,0,0.517,0,0,2.327,3.334,0,0,0.285,7.428,669.48,-0.64,-1.97,-1.5,-1.62,-0.15,-1.18
47,1.3679,6.233,3.8005,-3.8005,1.4844,4.8651,0.2055,-6.233,-1.3679,5.1731,1.3726,6.5457,2.5595,1416.64,-3.73,27,34,18,517.53,-2.891,-0.733,0,-15.67,1,0,0,-0.841,0.322,-3.466,-6.479,0,0,0,0,0,0,0,-1.02,0,0,0.481,0,1,2.266,2.89,1,0,0.285,4.207,1309.85,-3.93,-3.99,-4.01,-4,-3.88,-3.94
48,0.9578,6.2099,3.5839,-3.5839,1.2228,5.2521,0.1904,-6.2099,-0.9578,4.5657,0.9819,5.5476,2.5826,1402.61,-3.97,27,34,19,526.32,-2.891,-0.745,0,-15.71,1,0,0,-0.85,0.322,-4.875,-6.54,0,0,0,0,0,0,0,-0.668,0,0,0.524,0,1,1.881,1.325,1,0,0.285,1.957,1292.91,-3.93,-3.98,-4,-3.99,-3.88,-3.94
49,1.2773,6.1394,3.7084,-3.7084,1.4142,4.8621,0.2057,-6.1394,-1.2773,4.9865,1.2781,6.2646,2.6531,1399.61,-1.86,26,33,16,491.51,-2.891,-0.77,0,-14.62,1,0,0,-0.742,0.317,-4.668,-6.124,0,0,0,0,0,0,0,-0.845,0,0,0.526,0,1,1.821,1.306,1,0,0.285,1.604,1292.3,-3.93,-3.99,-4.01,-4,-3.88,-3.94
50,1.4942,6.0954,3.7948,-3.7948,1.5648,4.6012,0.2173,-6.0954,-1.4942,5.3146,1.5199,6.8345,2.6971,1385.58,-2.11,26,33,17,500.3,-2.892,-0.022,0,-14.66,1,0,0,-0.336,0.31,-4.689,-6.05,0,0,0,0,0,0,0,-0.691,0,0,0.531,0,1,1.808,1.3,1,0,0.285,1.716,1275.35,-3.93,-3.99,-4.01,-4,-3.88,-3.93
51,1.6403,6.0698,3.855,-3.855,1.6776,4.4295,0.2258,-6.0698,-1.6403,5.5595,1.7044,7.2639,2.7227,1383.61,-0.97,26,32,15,471.98,-2.891,-1.275,0,-13.85,1,0,0,-1.043,0.255,-4.515,-5.996,0,1,0,0,0,0,0,-0.862,0,0,0.533,0,1,1.765,1.285,1,0,0.285,1.349,1284.63,-3.92,-3.99,-4.01,-4,-3.88,-3.94
52,1.3361,6.0219,3.679,-3.679,1.4442,4.6858,0.2134,-6.0219,-1.3361,5.0208,1.3419,6.3627,2.7706,1369.58,-1.22,26,32,16,480.07,-2.891,-0.989,0,-13.9,1,0,0,-1.059,0.326,-3.526,-6.087,0,1,0,0,0,0,0,0.627,0,0,0.507,0,1,2.503,5.105,1,0,0.285,21.19,1267.68,-3.92,-3.99,-4.01,-4,-3.88,-3.93
